track.name,track.id,track.popularity,href,id,name,type,uri,external_urls.spotify,song_id,song_name,popularity
,,,https://api.spotify.com/v1/artists/3VNITwohbvU5Wuy5PC6dsI,3VNITwohbvU5Wuy5PC6dsI,Kool & The Gang,artist,spotify:artist:3VNITwohbvU5Wuy5PC6dsI,https://open.spotify.com/artist/3VNITwohbvU5Wuy5PC6dsI,3K7Q9PHUWPTaknlbFPThn2,Celebration,75.0
,,,https://api.spotify.com/v1/artists/3BmGtnKgCSGYIUhmivXKWX,3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,artist,spotify:artist:3BmGtnKgCSGYIUhmivXKWX,https://open.spotify.com/artist/3BmGtnKgCSGYIUhmivXKWX,6JY1IdkZGeIcPegKxjSKeb,Since U Been Gone,77.0
,,,https://api.spotify.com/v1/artists/6mRev5KzKOgQcZjWanwBdd,6mRev5KzKOgQcZjWanwBdd,The Escape Club,artist,spotify:artist:6mRev5KzKOgQcZjWanwBdd,https://open.spotify.com/artist/6mRev5KzKOgQcZjWanwBdd,4Qn1QhHhUT01LfpBnC7xnf,Wild Wild West,50.0
,,,https://api.spotify.com/v1/artists/32WkQRZEVKSzVAAYqukAEA,32WkQRZEVKSzVAAYqukAEA,Lady A,artist,spotify:artist:32WkQRZEVKSzVAAYqukAEA,https://open.spotify.com/artist/32WkQRZEVKSzVAAYqukAEA,7GAaTpSoTWUTbP2Yxlt4Hd,Need You Now,77.0
,,,https://api.spotify.com/v1/artists/3Y10boYzeuFCJ4Qgp53w6o,3Y10boYzeuFCJ4Qgp53w6o,Scissor Sisters,artist,spotify:artist:3Y10boYzeuFCJ4Qgp53w6o,https://open.spotify.com/artist/3Y10boYzeuFCJ4Qgp53w6o,1qEHgdFqUxFebMPk8s2HLY,I Don't Feel Like Dancin' - Radio Edit,67.0
,,,https://api.spotify.com/v1/artists/0uq5PttqEjj3IH1bzwcrXF,0uq5PttqEjj3IH1bzwcrXF,Spice Girls,artist,spotify:artist:0uq5PttqEjj3IH1bzwcrXF,https://open.spotify.com/artist/0uq5PttqEjj3IH1bzwcrXF,1jI1aLmm5HTwiMtvsbwDJw,Who Do You Think You Are,64.0
,,,https://api.spotify.com/v1/artists/4lxfqrEsLX6N1N4OCSkILp,4lxfqrEsLX6N1N4OCSkILp,Phil Collins,artist,spotify:artist:4lxfqrEsLX6N1N4OCSkILp,https://open.spotify.com/artist/4lxfqrEsLX6N1N4OCSkILp,63CHa6rmamv9OsehkRD8oz,Against All Odds (Take a Look at Me Now) - 2016 Remaster,79.0
,,,https://api.spotify.com/v1/artists/5n30a5V4ftXNMHCHChmK2h,5n30a5V4ftXNMHCHChmK2h,Young MC,artist,spotify:artist:5n30a5V4ftXNMHCHChmK2h,https://open.spotify.com/artist/5n30a5V4ftXNMHCHChmK2h,4CYyheknaH5R2xfEndtixD,Bust A Move,52.0
,,,https://api.spotify.com/v1/artists/3plJVWt88EqjvtuB4ZDRV3,3plJVWt88EqjvtuB4ZDRV3,Ben E. King,artist,spotify:artist:3plJVWt88EqjvtuB4ZDRV3,https://open.spotify.com/artist/3plJVWt88EqjvtuB4ZDRV3,3SdTKo2uVsxFblQjpScoHy,Stand By Me,82.0
,,,https://api.spotify.com/v1/artists/0cQbJU1aAzvbEmTuljWLlF,0cQbJU1aAzvbEmTuljWLlF,No Doubt,artist,spotify:artist:0cQbJU1aAzvbEmTuljWLlF,https://open.spotify.com/artist/0cQbJU1aAzvbEmTuljWLlF,7H8zey5My6uNdD2TxeCb9F,Don't Speak,2.0
